,Unnamed: 0,ts_datetime,ts_magnitude1,ts_magnitude2,ts_magnitude3,ts_magnitude4,ts_magnitude5,ts_magnitude6,ts_magnitude7,ts_magnitude8,ts_magnitude9,ts_magnitude10,ts_magnitude11,ts_magnitude12
0,0,1/3/2000,366.91053323135867,374.9396528958507,387.93507084002744,370.4500697597366,383.2124009557268,382.7561457412852,385.85729285309674,3315.085326652886,126261999992.49913,0.019796768866060382,3.8962350415997222,-1.601550916831734
1,1,1/4/2000,377.25297111904956,376.9474471826751,392.5267114138296,374.0952206285781,390.90453164251556,386.77147797477426,382.8203052195857,4819.093298483362,184769999991.91156,-2.1115901650359943,-2.0808194215445748,-1.3617490336146159
2,2,1/5/2000,383.49394348961306,372.3064576623175,394.1858600598,368.52880651327706,385.6026927442094,383.82097285532876,385.2383091981228,2635.70323207105,99813799997.91457,1.3246261398890145,8.502563878833632,-1.162486404908304
3,3,1/6/2000,385.4462113916375,385.65951052641543,383.2074020757901,376.0957589069059,384.5245462932381,375.0748600390741,384.1213963981105,3348.7168085079347,127410999997.28479,2.5728688421389494,6.843962058667144,4.14948983495906
4,4,1/7/2000,374.27507669834097,377.2603082356887,394.6673178151335,371.03572959745804,386.0568798435972,383.5417333641536,379.7245586980239,9590.709392586296,367627000000.7515,1.2877277636406956,2.798692138880541,3.1619019411654996
5,5,1/10/2000,388.33569405032506,411.44803745260464,416.37737678036075,416.1662451083659,411.1583852848703,420.2978194225638,414.0192220917753,60311.941083625476,2502820000000.8506,1.0344506479772735,-4.879317200771729,-3.6713911746958177
6,6,1/11/2000,410.39068537712075,417.3869714687012,425.8641623483116,417.049300047248,412.0756028055177,421.02619806769735,418.6858619279254,65564.63324347763,2704799999999.468,-0.13928011085567943,-3.2388760859150922,-2.3386265563670063
7,7,1/12/2000,415.58512981430033,421.7520464284501,454.3218480967108,410.89990316325265,413.51067038038514,416.3510036764343,422.28722295880095,24856.835836567898,1047499999996.646,-2.2798609038609703,8.089573561301068,-3.197847443051509
8,8,1/13/2000,413.91207489155914,428.1300219833336,432.57065531944704,413.99526923983285,416.66523800543695,417.89444539673434,422.3869049952389,9173.92832519953,387300999993.2966,1.9349291561513728,4.636534660862446,-0.604917431489202
9,9,1/14/2000,419.969069238986,408.4491138827066,415.8727033921551,413.9390326536377,403.43134513926225,412.4499528293157,407.2441014953886,64607.160762889645,2649019999995.672,-1.438472518441566,3.2616088920631885,2.449880753343012
